s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,speaker_emotion,listener_emotion,empathy
0.895216,0.09689567,0.007888426,0.82607776,0.15327473,0.020647459,1,0,0,-0.129,0.106,-0.10899999999999999,-0.049,-0.205,-0.07150000000000002,11,21,0.9873665571212769,0.00961665716022253,0.00048576475819572806,0.00012433211668394506,3.967179509345442e-05,0.00011928884487133473,8.409843576373532e-05,0.00014655689301434904,0.002017088932916522,anxious,nostalgic,4
0.759514,0.21648218,0.024003807,0.30246833,0.57576585,0.12176582,0,0,2,0.14040000000000002,-0.04560000000000001,-0.06919999999999998,0.07500000000000001,-0.040000000000000015,-0.008249999999999993,12,17,8.748756954446435e-05,0.00026948374579660594,3.979232133133337e-05,9.457830310566351e-05,0.0006487910286523402,0.0001610746985534206,0.9889240860939026,8.96317433216609e-05,0.009684989228844643,anxious,hopeful,5
0.70406955,0.28241038,0.01352003,0.0044445535,0.08577605,0.90977937,1,0,0,-0.07039999999999999,-0.11600000000000003,0.05719999999999999,0.792,-0.14200000000000002,0.251,10,4,7.190560427261516e-05,0.00038952918839640915,0.0001396836742060259,6.182349898153916e-05,0.00019567098934203386,8.42301087686792e-05,0.00010591850150376558,0.998853325843811,9.795663936529309e-05,furious,content,2
0.42229137,0.45887378,0.11883484,0.011940088,0.6843479,0.30371204,0,0,0,0.6900000000000001,-0.20499999999999996,0.1975,0.556,-0.05933333333333335,0.13533333333333333,13,7,0.0004032010037917644,0.0045942626893520355,0.00013189981109462678,8.99272708920762e-05,0.0005895727081224322,0.9933795928955078,0.0004946901462972164,0.00025213052867911756,6.469001527875662e-05,trusting,nostalgic,3
0.8409881,0.15008903,0.008922835,0.23733267,0.7356417,0.027025595,0,0,2,0.198,0.007999999999999993,0.072,-0.084,0.54,0.66,12,6,5.606425474979915e-05,7.780908345011994e-05,5.7356573961442336e-05,1.4535463378706481e-05,6.242198287509382e-05,0.0001721914450172335,0.9991018772125244,0.0002889769966714084,0.00016882778436411172,lonely,annoyed,3
0.005484189,0.19419023,0.80032563,0.004251609,0.06981542,0.92593294,1,0,0,0.33399999999999996,-0.09,0.13049999999999998,0.30400000000000005,-0.108,0.146,15,10,8.68462011567317e-05,0.00010843142808880657,1.58823277160991e-05,1.933521889441181e-05,3.510215901769698e-05,7.034622831270099e-05,7.662630378035828e-05,1.933503517648205e-05,0.9995680451393127,caring,joyful,5
0.0032301145,0.058610782,0.9381591,0.38638905,0.58858806,0.02502283,0,0,1,0.011333333333333343,-0.1406666666666667,0.045000000000000005,0.02,-0.118,-0.112,14,6,5.8144043578067794e-05,5.882577897864394e-05,3.8745471101719886e-05,1.514407449576538e-05,0.00012915108527522534,0.0004707548359874636,0.9987697005271912,0.0001290362124564126,0.0003304946585558355,hopeful,surprised,4
0.88130784,0.11016343,0.008528697,0.5682286,0.40077558,0.030995749,1,0,2,0.38949999999999996,0.19649999999999998,0.33249999999999996,-0.13466666666666668,0.12266666666666666,0.09799999999999999,12,9,6.907813076395541e-05,7.754118996672332e-05,2.5805376935750246e-05,1.700396569503937e-05,0.0003461063315626234,0.0003185437526553869,0.9986242055892944,0.00013144015974830836,0.00039030355401337147,anxious,sad,4
0.0026912002,0.11509248,0.8822163,0.003962055,0.3653122,0.6307258,0,0,0,0.31999999999999995,-0.084,0.173,0.41700000000000004,-0.11450000000000002,0.352,14,8,0.0003887792699970305,0.0004866275703534484,9.395834058523178e-05,3.5523564292816445e-05,0.0006644743261858821,0.996776282787323,0.0011973943328484893,0.0002061859267996624,0.00015085286577232182,hopeful,prepared,4
0.0012140343,0.11214809,0.8866379,0.001630999,0.010242362,0.98812664,1,0,2,0.43933333333333335,-0.32,-0.266,0.7108,0.05400000000000001,0.1888,7,15,0.0004760801384691149,0.0005516433157026768,5.794505341327749e-05,8.453167538391426e-05,0.0004948038258589804,0.00889570638537407,0.009281856007874012,4.7513625759165734e-05,0.9801098108291626,joyful,proud,4
